epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8962,1.18366,2.57396,1.59093,0.53712,0.32381,0.4647,0.2761,1.32729,3.32076,1.89895,0.000463459,0.000463459,0.000463459
2,21.856,1.15739,1.94425,1.53782,0.39376,0.29916,0.31768,0.15513,1.88761,3.31183,2.63006,0.000921185,0.000921185,0.000921185
3,31.7733,1.19383,1.78181,1.54938,0.47173,0.49489,0.40415,0.19657,1.75598,2.99226,2.286,0.00136005,0.00136005,0.00136005
4,42.1429,1.20055,1.65899,1.55027,0.44531,0.70028,0.48391,0.24368,1.57661,2.87441,2.34336,0.00134412,0.00134412,0.00134412
5,50.968,1.18202,1.60157,1.53123,0.57523,0.68302,0.60106,0.28006,1.86606,2.53606,2.84219,0.00131582,0.00131582,0.00131582
6,61.5609,1.1411,1.48697,1.49753,0.61076,0.57018,0.52644,0.25278,1.64475,2.62559,2.32845,0.00128753,0.00128753,0.00128753
7,72.5396,1.20266,1.43658,1.53837,0.74163,0.52702,0.6161,0.37321,1.7422,1.97786,2.34768,0.00125923,0.00125923,0.00125923
8,81.4433,1.15146,1.38719,1.49147,0.64623,0.70848,0.58037,0.36109,1.48085,1.87528,2.2335,0.00123094,0.00123094,0.00123094
9,92.7044,1.12952,1.29738,1.47041,0.63165,0.72955,0.67467,0.32631,1.65795,1.89422,2.1791,0.00120265,0.00120265,0.00120265
10,103.188,1.1094,1.22929,1.44133,0.62202,0.57972,0.62335,0.359,1.93784,1.76516,2.47411,0.00117435,0.00117435,0.00117435
11,112.133,1.09822,1.25017,1.44993,0.60076,0.68971,0.61567,0.37885,1.52484,1.44737,2.07994,0.00114606,0.00114606,0.00114606
12,122.901,1.13378,1.2046,1.46935,0.85085,0.7992,0.85898,0.46354,1.54247,1.17793,2.05782,0.00111776,0.00111776,0.00111776
13,133.488,1.07381,1.16462,1.41748,0.58928,0.76815,0.70919,0.43614,1.46533,1.35142,2.10182,0.00108947,0.00108947,0.00108947
14,142.949,1.03599,1.12116,1.42001,0.71494,0.71401,0.7528,0.4553,1.41473,1.52242,1.95742,0.00106118,0.00106118,0.00106118
15,154.132,0.99815,1.04188,1.37998,0.68503,0.76751,0.76055,0.47711,1.42293,1.80856,1.88662,0.00103288,0.00103288,0.00103288
16,165.095,1.04221,1.05004,1.38671,0.67661,0.72422,0.78418,0.47351,1.47657,1.564,1.90422,0.00100459,0.00100459,0.00100459
17,174.018,1.01332,1.03621,1.37311,0.72291,0.69469,0.74335,0.4741,1.55788,1.27283,2.06109,0.000976293,0.000976293,0.000976293
18,184.716,1.02009,1.04734,1.40026,0.51989,0.79284,0.66503,0.46425,1.26333,1.41252,1.71804,0.000947999,0.000947999,0.000947999
19,195.146,1.00466,0.97328,1.37124,0.82136,0.73987,0.84651,0.54568,1.35911,1.18145,1.88417,0.000919704,0.000919704,0.000919704
20,204.288,0.93722,0.91718,1.31937,0.71668,0.7563,0.77178,0.51813,1.23081,1.41553,1.80261,0.00089141,0.00089141,0.00089141
21,214.958,0.98894,0.93345,1.37044,0.64572,0.75518,0.81351,0.5357,1.39565,1.26814,1.9244,0.000863116,0.000863116,0.000863116
22,225.393,0.95264,0.92647,1.33564,0.65957,0.76824,0.803,0.50041,1.46327,1.34801,1.9685,0.000834822,0.000834822,0.000834822
23,234.244,0.94132,0.89326,1.32055,0.75741,0.82444,0.73454,0.48964,1.44593,1.20188,2.06125,0.000806528,0.000806528,0.000806528
24,244.56,0.92171,0.90833,1.31817,0.74466,0.71378,0.82297,0.5547,1.26574,1.09951,1.88101,0.000778233,0.000778233,0.000778233
25,254.514,0.90142,0.85756,1.29695,0.90796,0.75205,0.8408,0.53648,1.34668,0.94688,1.98438,0.000749939,0.000749939,0.000749939
26,265.021,0.91213,0.83947,1.31916,0.65375,0.85434,0.83052,0.58004,1.28703,1.00602,1.86463,0.000721645,0.000721645,0.000721645
27,275.818,0.93423,0.84661,1.34607,0.93459,0.79259,0.85092,0.60788,1.25216,0.95278,1.82511,0.000693351,0.000693351,0.000693351
28,285.987,0.90525,0.8416,1.29728,0.94726,0.78711,0.87866,0.60341,1.20082,0.91486,1.78387,0.000665057,0.000665057,0.000665057
29,295.863,0.86393,0.79499,1.28041,0.73111,0.7886,0.8478,0.56115,1.23822,0.99159,1.83403,0.000636762,0.000636762,0.000636762
30,306.603,0.82006,0.75969,1.24974,0.68809,0.81017,0.81906,0.57506,1.36906,1.07822,1.89703,0.000608468,0.000608468,0.000608468
31,316.434,0.82114,0.7459,1.24137,0.7285,0.58837,0.77298,0.58201,1.27657,1.2532,1.83585,0.000580174,0.000580174,0.000580174
32,326.222,0.86037,0.75255,1.25249,0.84226,0.77836,0.86093,0.6114,1.2799,0.96869,1.80399,0.00055188,0.00055188,0.00055188
33,337.337,0.85793,0.75531,1.28066,0.62145,0.83529,0.79231,0.53826,1.31648,1.08396,1.89348,0.000523586,0.000523586,0.000523586
34,346.63,0.84343,0.73908,1.2508,0.81808,0.7554,0.85078,0.59303,1.21509,0.92044,1.83467,0.000495291,0.000495291,0.000495291
35,356.35,0.79647,0.73136,1.22092,0.82305,0.72576,0.82979,0.55853,1.26506,0.90174,1.87529,0.000466997,0.000466997,0.000466997
36,366.296,0.77627,0.67184,1.21219,0.69106,0.78711,0.77158,0.48349,1.47641,1.12331,2.05226,0.000438703,0.000438703,0.000438703
37,374.975,0.79025,0.68338,1.21843,0.85262,0.79319,0.83585,0.58631,1.25579,0.88213,1.84404,0.000410409,0.000410409,0.000410409
38,384.771,0.75399,0.64962,1.1959,0.71168,0.80877,0.81241,0.58628,1.25173,1.01105,1.93179,0.000382115,0.000382115,0.000382115
39,394.509,0.74821,0.66285,1.2057,0.89079,0.83961,0.83675,0.57795,1.24399,0.78648,1.89577,0.00035382,0.00035382,0.00035382
40,403.651,0.73726,0.66985,1.1966,0.81334,0.8103,0.83588,0.58872,1.27296,0.81039,1.92361,0.000325526,0.000325526,0.000325526
41,415.848,0.71615,0.57305,1.28496,0.8349,0.83973,0.82763,0.57263,1.26241,0.82244,1.90045,0.000297232,0.000297232,0.000297232
42,425.142,0.68077,0.5086,1.25774,0.74642,0.80492,0.80848,0.52592,1.2729,0.99671,1.9501,0.000268938,0.000268938,0.000268938
43,433.064,0.66363,0.47884,1.24149,0.80562,0.70873,0.74331,0.49373,1.29784,1.02358,1.99592,0.000240644,0.000240644,0.000240644
44,442.57,0.63504,0.46913,1.20682,0.77832,0.69244,0.79822,0.53835,1.20651,0.97225,1.86613,0.000212349,0.000212349,0.000212349
45,450.181,0.61799,0.44699,1.1887,0.78945,0.75014,0.82796,0.56387,1.25285,1.04409,1.97232,0.000184055,0.000184055,0.000184055
46,460.5,0.60332,0.42189,1.18245,0.82414,0.82275,0.80468,0.53166,1.23231,0.94048,1.97141,0.000155761,0.000155761,0.000155761
47,469.773,0.59539,0.4164,1.17302,0.79339,0.81598,0.81566,0.56483,1.27687,0.90232,2.02215,0.000127467,0.000127467,0.000127467
48,478.945,0.58571,0.40633,1.14803,0.79011,0.78656,0.81359,0.58601,1.2012,0.92506,1.94651,9.91726e-05,9.91726e-05,9.91726e-05
49,488.654,0.56078,0.40064,1.13923,0.7754,0.78456,0.826,0.59816,1.20855,0.92656,1.92535,7.08784e-05,7.08784e-05,7.08784e-05
50,496.162,0.54804,0.39496,1.10483,0.82288,0.75437,0.82014,0.57063,1.22702,0.92081,1.94919,4.25842e-05,4.25842e-05,4.25842e-05
